ticker,date,time,title,sentiment_value
APLE,2020-06-14,08:32AM,"Trade Alert: The Executive Chairman Of Apple Hospitality REIT, Inc. (NYSE:APLE), Glade Knight, Has Just Spent US$57k Buying A Few More Shares",neutral
APLE,2020-05-18,05:35PM,Apple Hospitality REIT (APLE) Q1 FFO and Revenues Lag Estimates,negative
APLE,2020-05-18,04:15PM,Apple Hospitality REIT Reports Results of Operations for First Quarter 2020,neutral
MSFT,2023-09-05,07:42PM,"AI, jobs, & Microsoft: Day one takeaways from Goldman Sachs' tech conference",neutral
MSFT,2023-09-05,05:45PM,Microsoft (MSFT) Gains As Market Dips: What You Should Know,positive
MSFT,2023-09-05,05:34PM,Why Zoom Stock Topped the Market on Tuesday,positive
MSFT,2023-09-05,04:53PM,Zoom CFO: New AI Companion will motivate users toward paid subscriptions,positive
MSFT,2023-09-05,04:33PM,Big Tech preparing for EU's Digital Markets Act,neutral
MSFT,2023-09-05,03:34PM,"FTC Should Look at Microsoft Teams Bundle After EU Investigation, Zoom CEO Says",neutral
MSFT,2023-09-05,03:26PM,CrowdStrike CEO: 'Microsoft is always going to be a competitor',neutral
MSFT,2023-09-05,03:21PM,Best Dow Jones Stocks To Buy And Watch In September 2023: Apple's New Buy Point,neutral
MSFT,2023-09-05,01:45PM,Microsoft (MSFT) Seeks to Dodge EU's Gatekeepers Tag for Bing,neutral
MSFT,2023-09-05,12:31PM,G42 and Microsoft unlock new opportunities for digital transformation with joint sovereign cloud and AI offering,positive
MSFT,2023-09-05,12:11PM,Alphabet (GOOGL) Adds Latest Feature to Google Keep App,neutral
MSFT,2023-09-05,11:00AM,Is Salesforce Stock A Buy As Margins Improve But Revenue Growth Lags?,positive
MSFT,2023-09-05,10:45AM,"A Bull Market Is Coming: 1 Unstoppable Growth Stock to Buy Before It Soars 1,991%, According to Wall Street",neutral
MSFT,2023-09-05,10:15AM,Software Stocks To Watch Amid Artificial Intelligence-Generated Rally,neutral
MSFT,2023-09-05,08:41AM,Heres Why Microsoft Corporation (MSFT) Outperformed in Q2,negative
MSFT,2023-09-04,08:25PM,PRESS DIGEST- Financial Times - Sept. 5,neutral
MSFT,2023-09-04,04:20PM,"Apple and Microsoft say some services not popular to be ""gatekeepers"" under EU's new Digital Market Act- FT",neutral
MSFT,2023-09-04,04:00PM,Apple and Microsoft say flagship services not popular enough to be gatekeepers,neutral
MSFT,2023-09-04,04:00PM,Apple and Microsoft fight Brussels over gatekeeper label for iMessage and Bing,negative
MSFT,2023-09-04,04:00PM,Apple and Microsoft clash with EU over gatekeeper label for iMessage and Bing,negative
MSFT,2023-09-04,12:00PM,3 Top Tech Stocks to Buy in September,neutral
MSFT,2023-09-04,06:00AM,ChatGPT Is Making History: 2 Artificial Intelligence (AI) Growth Stocks to Buy Now and Hold Through the Boom,positive
MSFT,2023-09-03,11:30AM,Salesforce Stock: Bear vs. Bull,neutral
MSFT,2023-09-03,10:04AM,18 Biggest Generative AI Companies In The World,neutral
MSFT,2023-09-02,12:30PM,Author Behnam Tabrizi on Leaders and Innovation,neutral
MSFT,2023-09-02,10:00AM,Here's why stocks may surprise to the upside in September,neutral
MSFT,2023-09-01,02:50PM,Ally partners with Microsoft to leverage generative artificial intelligence,neutral
MSFT,2023-09-01,02:40PM,Microsoft-Backed Rubrik Aims for IPO as Soon as This Year,neutral
MSFT,2023-09-01,10:31AM,"SentinelOne, Inc. (NYSE:S) Q2 2024 Earnings Call Transcript",neutral
MSFT,2023-09-01,09:30AM,Why This 1 Computer and Technology Stock Could Be a Great Addition to Your Portfolio,neutral
MSFT,2023-09-01,09:00AM,Investors Heavily Search Microsoft Corporation (MSFT): Here is What You Need to Know,neutral
MSFT,2023-09-01,09:00AM,2 Cheap AI Stocks That Are Not Microsoft to Buy Hand Over Fist Before They Take Off,neutral
MSFT,2023-09-01,08:38AM,Microsoft (MSFT) to Unbundle Teams From Office 365 in Europe,neutral
MSFT,2023-09-01,07:30AM,Q2 2024 SentinelOne Inc Earnings Call,neutral
MSFT,2023-09-01,05:30AM,SentinelOne (S) Q2 2024 Earnings Call Transcript,neutral
MSFT,2023-09-01,12:01AM,The paper trail revealing hidden Adani investors,neutral
MSFT,2023-08-31,11:20PM,Long-Term Returns of David Einhorns Activist Targets,neutral
MSFT,2023-08-31,10:58PM,List of 55 Artificial Intelligence Companies in USA,neutral
MSFT,2023-08-31,10:23PM,16 Best High Volume Stocks To Buy Today,neutral
MSFT,2023-08-31,08:39PM,Goldman Sachs AI Stocks: Top 10 Stock Picks,neutral
MSFT,2023-08-31,02:12PM,Microsoft to Unbundle Teams Software From Office Suites to Appease EU Regulators,neutral
MSFT,2023-08-31,12:25PM,Goldman Sachs tech conference: Analyst's 3 things to watch,neutral
MSFT,2023-08-31,11:57AM,"Goldman Sachs' Fintech Unit Faces Scrutiny, EU Probe Prompts Microsoft To Unbundle Teams App, UBS Records Bumper Q2 Profit Thanks To Goodwill: Today's Top Stories",negative
MSFT,2023-08-31,11:56AM,Microsoft to unbundle Teams from Office suite in Europe,neutral
MSFT,2023-08-31,11:31AM,Microsoft vs Apple: Which Is the Better Dividend Stock?,neutral
MSFT,2023-08-31,10:13AM,Lumen (LUMN) Uses Microsoft 365 Copilot to Enhance Productivity,neutral
MSFT,2023-08-31,09:55AM,"1 Super Stock Set to Join Apple, Microsoft, Amazon, Alphabet, and Nvidia in the $1 Trillion Club",neutral
MSFT,2023-08-31,08:57AM,Arista Stock Jumps. An Analyst Now Says Its Time to Buy.,neutral
MSFT,2023-08-31,08:23AM,Billionaire Ken Fisher and Bill Gates Love These 7 Stocks,neutral
MSFT,2023-08-31,07:05AM,Microsoft to Unbundle Teams Software in Europe,neutral
MSFT,2023-08-31,06:54AM,Microsoft to stop packaging Teams and Office software in Europe to head off EU antitrust action,negative
MSFT,2023-08-31,06:40AM,"Stocks nudge higher, inflation data on deck, Salesforce earnings, Broadcom up next, Microsoft Teams move - 5 Things To Know",neutral
MSFT,2023-08-31,06:34AM,Microsoft to unbundle Teams from Office to appease EU competition concern,neutral
MSFT,2023-08-31,06:23AM,AI startup Speak raises $16 million in latest funding led by Lachy Groom,neutral
MSFT,2023-08-31,06:00AM,AI startup Speak raises $16 mln in latest funding led by Lachy Groom,neutral
MSFT,2023-08-31,05:36AM,"Microsoft to Unbundle Teams Software in Europe, Delivering Win to Salesforces Slack",neutral
MSFT,2023-08-31,05:21AM,"3 ""Magnificent Seven"" Stocks Billionaires Are Buying Hand Over Fist",neutral
MSFT,2023-08-31,04:52AM,Microsoft to unbundle Teams to appease EU competition worries,neutral
MSFT,2023-08-31,04:15AM,Microsoft to unbundle Teams from Office in bid to allay EU antitrust concerns,neutral
MSFT,2023-08-31,03:14AM,"Microsoft to unbundle Teams from Office, seeks to avert EU antitrust fine",neutral
MSFT,2023-08-31,03:07AM,Microsoft to unbundle Teams from Office in bid to allay EU antitrust concerns,neutral
